seed_idx,seed_alpha0_dec,seed_beta0_dec,seed_alpha0_hex,seed_beta0_hex,alpha0,beta0,alphaR,betaR,alpha0_hex,beta0_hex,alphaR_hex,betaR_hex,cw_total
768,59712,72,0xe940,0x48,59712.0,72.0,96.0,64.0,0xe940,0x48,0x60,0x40,7.0
496,38979,121,0x9843,0x79,38979.0,121.0,97.0,65.0,0x9843,0x79,0x61,0x41,7.0
963,42613,155,0xa675,0x9b,42613.0,155.0,25.0,17.0,0xa675,0x9b,0x19,0x11,8.0
544,7463,236,0x1d27,0xec,7463.0,236.0,12.0,8.0,0x1d27,0xec,0xc,0x8,8.0
138,32798,165,0x801e,0xa5,32798.0,165.0,7.0,5.0,0x801e,0xa5,0x7,0x5,8.0
142,15631,206,0x3d0f,0xce,15631.0,206.0,12.0,8.0,0x3d0f,0xce,0xc,0x8,8.0
991,5433,16879,0x1539,0x41ef,,,,,,,,,inf
990,57891,61683,0xe223,0xf0f3,,,,,,,,,inf
989,41194,10262,0xa0ea,0x2816,,,,,,,,,inf
988,5179,52411,0x143b,0xccbb,,,,,,,,,inf
987,42653,7203,0xa69d,0x1c23,,,,,,,,,inf
986,2733,4963,0xaad,0x1363,,,,,,,,,inf
985,27176,6537,0x6a28,0x1989,,,,,,,,,inf
984,50572,15464,0xc58c,0x3c68,,,,,,,,,inf
983,14077,60862,0x36fd,0xedbe,,,,,,,,,inf
982,51559,32402,0xc967,0x7e92,,,,,,,,,inf
981,38183,38867,0x9527,0x97d3,,,,,,,,,inf
980,20070,30285,0x4e66,0x764d,,,,,,,,,inf
979,5216,46596,0x1460,0xb604,,,,,,,,,inf
978,6798,48203,0x1a8e,0xbc4b,,,,,,,,,inf
977,46743,32010,0xb697,0x7d0a,,,,,,,,,inf
976,19999,37665,0x4e1f,0x9321,,,,,,,,,inf
15,31610,31037,0x7b7a,0x793d,,,,,,,,,inf
14,59385,42784,0xe7f9,0xa720,,,,,,,,,inf
13,28085,13497,0x6db5,0x34b9,,,,,,,,,inf
12,63948,18253,0xf9cc,0x474d,,,,,,,,,inf
11,53003,61380,0xcf0b,0xefc4,,,,,,,,,inf
10,17537,47714,0x4481,0xba62,,,,,,,,,inf
9,19053,41504,0x4a6d,0xa220,,,,,,,,,inf
8,56249,24932,0xdbb9,0x6164,,,,,,,,,inf
7,4748,12410,0x128c,0x307a,,,,,,,,,inf
6,35732,27719,0x8b94,0x6c47,,,,,,,,,inf
5,56591,50028,0xdd0f,0xc36c,,,,,,,,,inf
4,15017,17805,0x3aa9,0x458d,,,,,,,,,inf
3,20654,64609,0x50ae,0xfc61,,,,,,,,,inf
2,9397,2744,0x24b5,0xab8,,,,,,,,,inf
1,52778,9745,0xce2a,0x2611,,,,,,,,,inf
992,15483,19051,0x3c7b,0x4a6b,,,,,,,,,inf
47,10740,63602,0x29f4,0xf872,,,,,,,,,inf
46,42717,23611,0xa6dd,0x5c3b,,,,,,,,,inf
45,51452,58579,0xc8fc,0xe4d3,,,,,,,,,inf
44,5686,42570,0x1636,0xa64a,,,,,,,,,inf
43,6600,21173,0x19c8,0x52b5,,,,,,,,,inf
42,46190,45604,0xb46e,0xb224,,,,,,,,,inf
41,37330,33753,0x91d2,0x83d9,,,,,,,,,inf
40,28879,19838,0x70cf,0x4d7e,,,,,,,,,inf
39,9565,19488,0x255d,0x4c20,,,,,,,,,inf
38,5179,27772,0x143b,0x6c7c,,,,,,,,,inf
37,25432,58965,0x6358,0xe655,,,,,,,,,inf
36,47188,20851,0xb854,0x5173,,,,,,,,,inf
35,60181,44190,0xeb15,0xac9e,,,,,,,,,inf
34,56981,7858,0xde95,0x1eb2,,,,,,,,,inf
33,39682,8210,0x9b02,0x2012,,,,,,,,,inf
32,25396,40855,0x6334,0x9f97,,,,,,,,,inf
63,44486,65329,0xadc6,0xff31,,,,,,,,,inf
62,17375,25979,0x43df,0x657b,,,,,,,,,inf
61,10617,11731,0x2979,0x2dd3,,,,,,,,,inf
60,57880,60566,0xe218,0xec96,,,,,,,,,inf
59,59878,36913,0xe9e6,0x9031,,,,,,,,,inf
58,11231,63649,0x2bdf,0xf8a1,,,,,,,,,inf
57,37308,30093,0x91bc,0x758d,,,,,,,,,inf
56,25978,29011,0x657a,0x7153,,,,,,,,,inf
55,23779,22199,0x5ce3,0x56b7,,,,,,,,,inf
54,53770,19683,0xd20a,0x4ce3,,,,,,,,,inf
53,24527,42263,0x5fcf,0xa517,,,,,,,,,inf
52,26859,56018,0x68eb,0xdad2,,,,,,,,,inf
51,4385,50619,0x1121,0xc5bb,,,,,,,,,inf
50,11138,9230,0x2b82,0x240e,,,,,,,,,inf
49,34470,7898,0x86a6,0x1eda,,,,,,,,,inf
48,686,4129,0x2ae,0x1021,,,,,,,,,inf
79,48328,13069,0xbcc8,0x330d,,,,,,,,,inf
78,2250,64237,0x8ca,0xfaed,,,,,,,,,inf
77,24812,38248,0x60ec,0x9568,,,,,,,,,inf
76,16873,62535,0x41e9,0xf447,,,,,,,,,inf
75,17881,43318,0x45d9,0xa936,,,,,,,,,inf
74,55181,47512,0xd78d,0xb998,,,,,,,,,inf
73,8457,18412,0x2109,0x47ec,,,,,,,,,inf
72,37376,37438,0x9200,0x923e,,,,,,,,,inf
71,61705,29940,0xf109,0x74f4,,,,,,,,,inf
70,15002,42591,0x3a9a,0xa65f,,,,,,,,,inf
69,184,46356,0xb8,0xb514,,,,,,,,,inf
68,62461,12156,0xf3fd,0x2f7c,,,,,,,,,inf
67,54776,46329,0xd5f8,0xb4f9,,,,,,,,,inf
66,38699,34190,0x972b,0x858e,,,,,,,,,inf
65,50077,1284,0xc39d,0x504,,,,,,,,,inf
64,9915,60284,0x26bb,0xeb7c,,,,,,,,,inf
95,49536,44600,0xc180,0xae38,,,,,,,,,inf
94,46288,46460,0xb4d0,0xb57c,,,,,,,,,inf
93,16081,45940,0x3ed1,0xb374,,,,,,,,,inf
92,44833,21065,0xaf21,0x5249,,,,,,,,,inf
91,56216,57540,0xdb98,0xe0c4,,,,,,,,,inf
90,11039,35544,0x2b1f,0x8ad8,,,,,,,,,inf
89,43242,25766,0xa8ea,0x64a6,,,,,,,,,inf
88,63328,18096,0xf760,0x46b0,,,,,,,,,inf
87,48166,58046,0xbc26,0xe2be,,,,,,,,,inf
86,2005,23541,0x7d5,0x5bf5,,,,,,,,,inf
85,53812,33574,0xd234,0x8326,,,,,,,,,inf
84,28842,64573,0x70aa,0xfc3d,,,,,,,,,inf
83,61886,12190,0xf1be,0x2f9e,,,,,,,,,inf
82,56957,51061,0xde7d,0xc775,,,,,,,,,inf
81,59573,38830,0xe8b5,0x97ae,,,,,,,,,inf
80,63012,32778,0xf624,0x800a,,,,,,,,,inf
111,37287,29711,0x91a7,0x740f,,,,,,,,,inf
110,63815,3236,0xf947,0xca4,,,,,,,,,inf
109,45627,64643,0xb23b,0xfc83,,,,,,,,,inf
108,1304,20091,0x518,0x4e7b,,,,,,,,,inf
107,59398,57451,0xe806,0xe06b,,,,,,,,,inf
106,45867,59820,0xb32b,0xe9ac,,,,,,,,,inf
105,34393,31429,0x8659,0x7ac5,,,,,,,,,inf
104,41735,4253,0xa307,0x109d,,,,,,,,,inf
103,8912,35757,0x22d0,0x8bad,,,,,,,,,inf
102,42387,49114,0xa593,0xbfda,,,,,,,,,inf
101,29258,51123,0x724a,0xc7b3,,,,,,,,,inf
100,44066,26656,0xac22,0x6820,,,,,,,,,inf
99,34776,39242,0x87d8,0x994a,,,,,,,,,inf
98,32202,61669,0x7dca,0xf0e5,,,,,,,,,inf
97,21198,52870,0x52ce,0xce86,,,,,,,,,inf
96,39441,52601,0x9a11,0xcd79,,,,,,,,,inf
127,33342,9186,0x823e,0x23e2,,,,,,,,,inf
126,15528,42929,0x3ca8,0xa7b1,,,,,,,,,inf
125,32877,44050,0x806d,0xac12,,,,,,,,,inf
124,59434,16286,0xe82a,0x3f9e,,,,,,,,,inf
123,53883,6667,0xd27b,0x1a0b,,,,,,,,,inf
122,15172,12020,0x3b44,0x2ef4,,,,,,,,,inf
121,57279,44782,0xdfbf,0xaeee,,,,,,,,,inf
120,30361,8500,0x7699,0x2134,,,,,,,,,inf
119,26593,62323,0x67e1,0xf373,,,,,,,,,inf
118,53493,7893,0xd0f5,0x1ed5,,,,,,,,,inf
117,17049,29828,0x4299,0x7484,,,,,,,,,inf
116,9218,8936,0x2402,0x22e8,,,,,,,,,inf
115,41009,34552,0xa031,0x86f8,,,,,,,,,inf
114,57781,45512,0xe1b5,0xb1c8,,,,,,,,,inf
113,8256,8493,0x2040,0x212d,,,,,,,,,inf
112,42799,39763,0xa72f,0x9b53,,,,,,,,,inf
