0xe8d9	0x041d
0xce2a	0x2611
0x24b5	0x0ab8
0x50ae	0xfc61
0x3aa9	0x458d
0xdd0f	0xc36c
0x8b94	0x6c47
0x128c	0x307a
0xdbb9	0x6164
0x4a6d	0xa220
0x4481	0xba62
0xcf0b	0xefc4
0xf9cc	0x474d
0x6db5	0x34b9
0xe7f9	0xa720
0x7b7a	0x793d
0x6a51	0xb468
0xe91b	0xe48a
0x5c34	0xfc0d
0x10bc	0x132f
0xb854	0x9e64
0x10a8	0x7cb2
0xdf61	0xea1e
0x44fd	0xb639
0x7ed5	0xf3f5
0x22bc	0xd9ad
0xf704	0xa3f1
0x3352	0x0129
0xcedd	0xbb08
0xcd9f	0xc8c3
0x008c	0x08c7
0x9156	0x2632
0x6334	0x9f97
0x9b02	0x2012
0xde95	0x1eb2
0xeb15	0xac9e
0xb854	0x5173
0x6358	0xe655
0x143b	0x6c7c
0x255d	0x4c20
0x70cf	0x4d7e
0x91d2	0x83d9
0xb46e	0xb224
0x19c8	0x52b5
0x1636	0xa64a
0xc8fc	0xe4d3
0xa6dd	0x5c3b
0x29f4	0xf872
0x02ae	0x1021
0x86a6	0x1eda
0x2b82	0x240e
0x1121	0xc5bb
0x68eb	0xdad2
0x5fcf	0xa517
0xd20a	0x4ce3
0x5ce3	0x56b7
0x657a	0x7153
0x91bc	0x758d
0x2bdf	0xf8a1
0xe9e6	0x9031
0xe218	0xec96
0x2979	0x2dd3
0x43df	0x657b
0xadc6	0xff31
0x26bb	0xeb7c
0xc39d	0x0504
0x972b	0x858e
0xd5f8	0xb4f9
0xf3fd	0x2f7c
0x00b8	0xb514
0x3a9a	0xa65f
0xf109	0x74f4
0x9200	0x923e
0x2109	0x47ec
0xd78d	0xb998
0x45d9	0xa936
0x41e9	0xf447
0x60ec	0x9568
0x08ca	0xfaed
0xbcc8	0x330d
0xf624	0x800a
0xe8b5	0x97ae
0xde7d	0xc775
0xf1be	0x2f9e
0x70aa	0xfc3d
0xd234	0x8326
0x07d5	0x5bf5
0xbc26	0xe2be
0xf760	0x46b0
0xa8ea	0x64a6
0x2b1f	0x8ad8
0xdb98	0xe0c4
0xaf21	0x5249
0x3ed1	0xb374
0xb4d0	0xb57c
0xc180	0xae38
0x9a11	0xcd79
0x52ce	0xce86
0x7dca	0xf0e5
0x87d8	0x994a
0xac22	0x6820
0x724a	0xc7b3
0xa593	0xbfda
0x22d0	0x8bad
0xa307	0x109d
0x8659	0x7ac5
0xb32b	0xe9ac
0xe806	0xe06b
0x0518	0x4e7b
0xb23b	0xfc83
0xf947	0x0ca4
0x91a7	0x740f
0xa72f	0x9b53
0x2040	0x212d
0xe1b5	0xb1c8
0xa031	0x86f8
0x2402	0x22e8
0x4299	0x7484
0xd0f5	0x1ed5
0x67e1	0xf373
0x7699	0x2134
0xdfbf	0xaeee
0x3b44	0x2ef4
0xd27b	0x1a0b
0xe82a	0x3f9e
0x806d	0xac12
0x3ca8	0xa7b1
0x823e	0x23e2
0xd953	0x84f0
0x35ae	0x6247
0xa160	0x413d
0xa3b8	0xf62f
0x66e2	0xf8a5
0x6910	0x1dcf
0x7309	0x5dfc
0x9ce3	0x51f4
0x0fa5	0xc06b
0x4c7b	0xcb0d
0x801e	0x00a5
0x7fe0	0x9ef6
0xa182	0xf525
0xeac6	0x5f7e
0x3d0f	0x00ce
0x333a	0xc61d
0x466c	0x7d12
0x6197	0xe0c2
0xfeec	0x1b77
0xf701	0x49ec
0x7a8d	0xd30f
0xe341	0x4f24
0xe241	0x35a9
0x9c73	0x0f83
0xf7f9	0xa344
0x22bc	0x2f7c
0x5650	0x1185
0x5a4f	0x7238
0x536d	0x7197
0x353e	0xa648
0xa1fd	0x7cf0
0xe953	0x358b
0x2a7a	0xcdd3
0xe1d2	0xa067
0x2094	0xc467
0x2b9c	0x1b1d
0xc675	0x2346
0x1da6	0x6fe6
0x19fd	0x8ebd
0x82d0	0xf074
0x953d	0x1a0c
0x393e	0x85d7
0xe864	0xf77e
0xa87e	0x5328
0x6ca3	0x9cc2
0x2417	0x3521
0xb71f	0x5a6d
0x697c	0x57ca
0xebc6	0x5830
0xdfb1	0xf796
0x1bd7	0xb004
0x5f36	0x2bf0
0xda99	0xfca0
0xa5a5	0x71d7
0x00a2	0xbea1
0x93eb	0x6376
0x70e1	0x02a9
0x99da	0xf9d3
0x51ed	0x7d1e
0xfcd8	0xba0d
0xc39d	0xd711
0x0091	0xd13f
0x0b44	0x717b
0xa01e	0xfe8a
0xf321	0x4726
0xb8be	0x4a2c
0x0195	0x78b2
0x8933	0xec9c
0xe60f	0x45f2
0x04d0	0x9ccc
0x0abd	0x6edd
0xb636	0x86aa
0x1dd8	0x76ee
0x40d4	0x5778
0x77d4	0xbf24
0x327d	0x4bbd
0x2378	0xa4ee
0x956e	0x51db
0x94eb	0xf87d
0xdb60	0x448e
0x1e9e	0x95b7
0x082b	0x55cd
0x4111	0x14d6
0x1f12	0x631f
0xe2e2	0xd46f
0xead0	0x6e6b
0xb898	0x6686
0x867b	0xae53
0xa511	0x44be
0x0e83	0x4a52
0x4821	0x35ab
0x74d8	0xb05d
0x3333	0x4ea3
0x54ad	0xe895
0x0dd5	0x53af
0xdc2d	0x1cc4
0xa03a	0xa3cb
0xe083	0x8dbd
0x6c6a	0x9d0c
0x5015	0xe057
0xdc9d	0xe501
0xd784	0xbba0
0x3fd3	0xc25b
0x6d9a	0x9f59
0x7b7b	0x0ee2
0x4f2c	0xa3b7
0x91aa	0x4cad
0xa8f2	0xcf1e
0x0d6e	0x79e9
0x180f	0xe7b1
0x1ac6	0x2cc7
0x4f7f	0xab3e
0x326b	0xff93
0xa2b4	0xb00b
0xec3d	0x0f4c
0x5b70	0x5ba7
0x5da4	0xfd36
0x9e85	0xc3fd
0x1d34	0xff71
0xd6ae	0x71f8
0xe5a0	0x1844
0x92b6	0x68a9
0x9a8c	0xc544
0x61ed	0xfb31
