alpha,beta,gamma,delta,corr,bias,abs_corr,corr_sq,hw_alpha,hw_beta,hw_gamma,hw_delta
1,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,2,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,4,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,8,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,16,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,32,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,64,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,128,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,256,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,512,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,1024,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,2048,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,4096,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,8192,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,16384,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,32768,0,0.0,0.0,0.0,0.0,1,0,1,0
1,0,0,1,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,2,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,4,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,8,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,16,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,32,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,64,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,128,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,256,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,512,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,1024,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,2048,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,4096,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,8192,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,16384,0.0,0.0,0.0,0.0,1,0,0,1
1,0,0,32768,0.0,0.0,0.0,0.0,1,0,0,1
1,0,3,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,5,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,9,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,17,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,33,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,65,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,129,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,257,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,513,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,1025,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,2049,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,4097,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,8193,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,16385,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,32769,0,0.0,0.0,0.0,0.0,1,0,2,0
1,0,1,1,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,2,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,4,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,8,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,16,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,32,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,64,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,128,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,256,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,512,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,1024,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,2048,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,4096,0.0,0.0,0.0,0.0,1,0,1,1
1,0,1,8192,0.0,0.0,0.0,0.0,1,0,1,1
